SubSectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,,,Silver,,,Software,,,Steel,,,Railroads,,,Gold,,,BanksUS,,,Transportation,,,Retail,,,Pharma,,,Metals & Mining,,,Chemicals,,,SOX,,,Biotech,,,Agriculture,,,Homebuilders,,,Airlines,,,Aerospace,,,Automotive,
SPX Index,,,SLVRLN Index,,,S5SFTW Index,,,S5STEL Index,,,S5RAIL Index,,,Gold,,,S5BANKX Index,,,S5TRAN Index,,,S5RETL Index,,,S5PHARX Index,,,S5METL Index,,,S5CHEM Index,,,SOX Index,,,S5BIOTX Index,,,S5AGRI Index,,,S5HOME Index,,,S5AIRLX Index,,,S5AERO Index,,,S5AUCO Index,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
2016/07/06,2099.72998,,2016/07/05,1973,,2016/07/05,1050.44,,2016/07/05,114.28,,2016/07/05,964.23,,2016/07/05,1350.75,,2016/07/05,197.72,,2016/07/05,487.17,,2016/07/05,1298.35,,2016/07/05,625.27,,2016/07/05,98.57,,2016/07/05,466.55,,2016/07/05,672.5122,,2016/07/05,3350.12,,2016/07/05,725.08,,2016/07/05,695.51,,2016/07/05,224.67,,2016/07/05,766.42,,2016/07/05,109.05
2016/07/05,2088.550049,,2016/07/04,2036,,2016/07/01,1054.52,,2016/07/01,116.63,,2016/07/01,973.55,,2016/07/04,1350.75,,2016/07/01,203.16,,2016/07/01,492,,2016/07/01,1300.3,,2016/07/01,622.26,,2016/07/01,101.33,,2016/07/01,474.49,,2016/07/01,685.0104,,2016/07/01,3375.33,,2016/07/01,736.49,,2016/07/01,698.49,,2016/07/01,229.02,,2016/07/01,774.61,,2016/07/01,113.13
2016/07/01,2102.949951,,2016/07/01,1924,,2016/06/30,1051.31,,2016/06/30,115.33,,2016/06/30,972.34,,2016/07/01,1340,,2016/06/30,205.12,,2016/06/30,488.35,,2016/06/30,1285.35,,2016/06/30,619.13,,2016/06/30,99.02,,2016/06/30,475.46,,2016/06/30,691.668,,2016/06/30,3320.88,,2016/06/30,741.33,,2016/06/30,693.55,,2016/06/30,225.85,,2016/06/30,773.85,,2016/06/30,110.69
2016/06/30,2098.860107,,2016/06/30,1836,,2016/06/29,1043.64,,2016/06/29,111.85,,2016/06/29,959.88,,2016/06/30,1320.75,,2016/06/29,202.55,,2016/06/29,482.53,,2016/06/29,1280.3,,2016/06/29,613.34,,2016/06/29,95.99,,2016/06/29,470.34,,2016/06/29,679.368,,2016/06/29,3291.59,,2016/06/29,718.68,,2016/06/29,683.26,,2016/06/29,223.52,,2016/06/29,759.22,,2016/06/29,109.86
2016/06/29,2070.77002,,2016/06/29,1821,,2016/06/28,1026.06,,2016/06/28,110.47,,2016/06/28,941.5,,2016/06/29,1321.5,,2016/06/28,197.25,,2016/06/28,472,,2016/06/28,1264.8,,2016/06/28,602.98,,2016/06/28,95.58,,2016/06/28,461.92,,2016/06/28,665.754,,2016/06/28,3238.56,,2016/06/28,701.05,,2016/06/28,668.61,,2016/06/28,215.17,,2016/06/28,749.29,,2016/06/28,107.89
2016/06/28,2036.089966,,2016/06/28,1757,,2016/06/27,1005.08,,2016/06/27,108.09,,2016/06/27,915.81,,2016/06/28,1309.7,,2016/06/27,191.12,,2016/06/27,461.36,,2016/06/27,1240.68,,2016/06/27,592.5,,2016/06/27,93.91,,2016/06/27,460.55,,2016/06/27,648.3169,,2016/06/27,3141.95,,2016/06/27,676.51,,2016/06/27,650.27,,2016/06/27,208.08,,2016/06/27,740.95,,2016/06/27,105.87
2016/06/27,2000.540039,,2016/06/27,1770,,2016/06/24,1027.97,,2016/06/24,111.73,,2016/06/24,949.68,,2016/06/27,1324.55,,2016/06/24,198.86,,2016/06/24,476.25,,2016/06/24,1257.86,,2016/06/24,595.68,,2016/06/24,95.75,,2016/06/24,476.81,,2016/06/24,675.3975,,2016/06/24,3203.2,,2016/06/24,700.02,,2016/06/24,666.79,,2016/06/24,219.66,,2016/06/24,752.28,,2016/06/24,109.71
2016/06/24,2037.300049,,2016/06/24,1804,,2016/06/23,1073.21,,2016/06/23,117.87,,2016/06/23,991.53,,2016/06/24,1315.5,,2016/06/23,213.36,,2016/06/23,499.11,,2016/06/23,1294.37,,2016/06/23,608.81,,2016/06/23,99.52,,2016/06/23,499.9,,2016/06/23,716.6747,,2016/06/23,3337.22,,2016/06/23,738.22,,2016/06/23,691.37,,2016/06/23,236.72,,2016/06/23,773.42,,2016/06/23,117.59
2016/06/23,2113.320068,,2016/06/23,1729,,2016/06/22,1058.17,,2016/06/22,115.7,,2016/06/22,978.88,,2016/06/23,1262.15,,2016/06/22,207.77,,2016/06/22,495.39,,2016/06/22,1280.29,,2016/06/22,603.18,,2016/06/22,98.25,,2016/06/22,492.5,,2016/06/22,698.2469,,2016/06/22,3285.94,,2016/06/22,725.94,,2016/06/22,681.15,,2016/06/22,237.71,,2016/06/22,767.65,,2016/06/22,115.66
2016/06/22,2085.449951,,2016/06/22,1720,,2016/06/21,1063.61,,2016/06/21,116.68,,2016/06/21,978.06,,2016/06/22,1264.85,,2016/06/21,208.43,,2016/06/21,498.96,,2016/06/21,1282.63,,2016/06/21,601.99,,2016/06/21,97.87,,2016/06/21,491.87,,2016/06/21,699.3983,,2016/06/21,3261.34,,2016/06/21,724.91,,2016/06/21,686.04,,2016/06/21,238.59,,2016/06/21,769.18,,2016/06/21,115.94
